Time,Error
6.80819,5.0
6.812989,5.0
6.833284,5.0
6.854225,5.0
6.873726,5.0
6.893465,5.0
6.914664,5.0
6.933707,5.0
6.954366,5.0
6.974609,5.0
6.993654,5.0
7.013484,5.0
7.033573,5.0
7.053255,5.0
7.074268,5.0
7.094137,5.0
7.113289,5.0
7.134228,5.0
7.154016,5.0
7.173088,5.0
7.193242,5.0
7.213935,5.0
7.233898,5.0
7.253798,5.0
7.273867,5.0
7.293754,5.0
7.313732,5.0
7.333679,5.0
7.353933,5.0
7.37356,5.0
7.393891,5.0
7.413785,5.0
7.433821,5.0
7.4534,5.0
7.474601,5.0
7.493374,5.0
7.513498,5.0
7.534554,5.0
7.553746,5.0
7.573228,5.0
7.594164,5.0
7.614096,5.0
7.634108,5.0
7.65416,5.0
7.673498,5.0
7.693026,5.0
7.714177,5.0
7.734564,5.0
7.753224,5.0
7.774221,5.0
7.794128,5.0
7.813938,5.0
7.833989,5.0
7.854026,5.0
7.873076,5.0
7.893766,5.0
7.913692,5.0
7.934827,5.0
7.953519,5.0
7.973833,5.0
7.994767,5.0
8.013547,5.0
8.033374,5.0
8.05333,5.0
8.073097,5.0
8.093983,5.0
8.11394,5.0
8.133808,5.0
8.153797,5.0
8.173772,5.0
8.193888,5.0
8.213708,5.0
8.234766,5.0
8.253648,5.0
8.272955,5.0
8.29395,5.0
8.313647,5.0
8.333785,5.0
8.353465,5.0
8.374397,5.0
8.394377,5.0
8.414366,5.0
8.434462,5.0
8.454298,5.0
8.474196,5.0
8.49421,5.0
8.514153,5.0
8.53405,5.0
8.554969,5.0
8.573636,5.0
8.593377,5.0
8.614507,5.0
8.633303,5.0
8.65415,5.0
8.673143,5.0
8.694136,5.0
8.714112,5.0
8.734077,5.0
8.75397,5.0
8.773647,5.0
8.79483,5.0
8.813551,5.0
8.834515,5.0
8.854476,5.0
8.8739,5.0
8.893062,5.0
8.913762,5.0
8.934762,5.0
8.953629,5.0
8.973573,5.0
8.994506,5.0
9.014712,5.0
9.033712,5.0
9.053683,5.0
9.073996,5.0
9.093669,5.0
9.114939,5.0
9.133553,5.0
9.153481,5.0
9.17467,5.0
9.193633,5.0
9.213634,5.0
9.233574,5.0
9.253554,5.0
9.273767,5.0
9.293588,5.0
9.313684,5.0
9.361245,5.0
9.368502,5.0
9.37397,5.0
9.393865,5.0
9.413825,5.0
9.433776,5.0
9.45384,5.0
9.473124,5.0
9.494031,5.0
9.513892,5.0
9.533913,5.0
9.55382,5.0
9.57328,5.0
9.594268,5.0
9.613295,5.0
9.63416,5.0
9.654102,5.0
9.673757,5.0
9.693367,5.0
9.71476,5.0
9.733499,5.0
9.753426,5.0
9.773713,5.0
9.79359,5.0
9.81363,5.0
9.833665,5.0
9.853507,5.0
9.874549,5.0
9.893516,5.0
9.913398,5.0
9.934191,5.0
9.953361,5.0
9.974046,5.0
9.994012,5.0
10.014145,5.0
10.033966,5.0
10.054164,5.0
10.073962,5.0
10.093693,5.0
10.113641,5.0
10.133507,5.0
10.154499,5.0
10.173681,5.0
10.193637,5.0
10.213585,5.0
10.233702,5.0
10.254589,5.0
10.273251,5.0
10.293445,5.0
10.313428,5.0
10.333108,5.0
10.353957,5.0
10.373225,5.0
10.393923,5.0
10.413147,5.0
10.433837,5.0
10.453004,5.0
10.473956,5.0
10.493684,5.0
10.513571,5.0
10.533448,5.0
10.554621,5.0
10.573573,5.0
10.593563,5.0
10.613526,5.0
10.633567,5.0
10.65432,5.0
10.673827,5.0
10.693061,5.0
10.713994,5.0
10.733811,5.0
10.753898,5.0
10.773805,5.0
10.793716,5.0
10.813475,5.0
10.833819,5.0
10.853652,5.0
